feature,importance
worst area,0.15291460549054037
worst concave points,0.1345464140281129
worst radius,0.10037092073125245
worst perimeter,0.08762878027059455
mean concave points,0.08370918601241141
mean perimeter,0.07753238665002588
mean radius,0.059436984729832026
mean concavity,0.05164326077628674
mean area,0.044946541423438326
worst concavity,0.030722051500101436
area se,0.022707711608680126
radius se,0.01645628754368334
worst texture,0.015983148752311126
worst compactness,0.0158854252527749
mean texture,0.014802715593080397
worst smoothness,0.014750626411955394
mean compactness,0.011966404968754566
worst symmetry,0.011350849844518347
perimeter se,0.008025977439163966
worst fractal dimension,0.006211085473982916
concavity se,0.005092781922612277
compactness se,0.0050868512125811375
fractal dimension se,0.00506388472119383
mean symmetry,0.004212155735533157
mean smoothness,0.004070208595875662
mean fractal dimension,0.0040071683700316245
texture se,0.0035316355898676152
symmetry se,0.0031438485049202747
smoothness se,0.002324608191188045
concave points se,0.0018754926546950918
